Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
0,-0.016,1.296,1.53,-1.28938,-0.957,0.971,-1.29114,-0.251,14.87467,14.75282,6.62853,11.83841,9.17419,11.39137,17.94587,8.23326,0.39599,-0.31531,0.28522,0.03391,0.17536,0.47586,0.45756,0.34171,283.19955,503.20703,365.50134,558.95343,207.17719,256.41922,546.57971,264.75443,64.18342,257.51736,89.94183,127.17735,45.64284,136.32915,134.84686,47.46843
1,-2.547,-1.674,-2.812,-1.86668,-3.232,-2.659,0.1047,-3.024,16.57444,15.32131,7.40655,11.83266,9.83258,12.39344,17.9905,9.39057,-0.62822,0.44316,-0.0968,0.81643,0.26924,-0.7752,0.04141,-0.11239,194.0654,361.93115,313.39423,644.87604,169.43335,261.25006,620.11749,187.32028,128.8905,48.6792,45.30299,-144.27858,18.58866,128.9677,-94.67274,52.39687
2,-3.444,-0.782,-4.337,-2.97983,-3.097,-4.129,-4.13367,-2.707,15.83413,14.92523,7.70641,13.11351,9.66506,12.36121,19.062,9.37757,-1.02883,-0.40918,-0.77476,-0.70124,-0.73705,-0.6329,-0.27206,-1.1747,186.27515,415.92917,299.77579,419.95874,156.12584,181.98669,421.56519,195.39491,106.70209,304.65869,90.71549,197.46941,69.9835,91.55677,127.22478,101.60022
3,-2.712,0.613,-1.664,-1.86668,-3.522,-2.158,0.1047,-3.255,16.57444,15.32131,7.40655,11.83266,9.83258,12.39344,17.9905,9.39057,-0.62822,0.44316,-0.0968,0.81643,0.26924,-0.7752,0.04141,-0.11239,194.0654,361.93115,313.39423,644.87604,169.43335,261.25006,620.11749,187.32028,128.8905,48.6792,45.30299,-144.27858,18.58866,128.9677,-94.67274,52.39687
4,-2.121,1.15,-1.444,0.24925,-2.552,-1.745,-1.41182,-2.022,15.45846,15.12074,6.97681,12.49559,9.98815,11.72964,18.12367,9.12098,-0.55547,-0.20581,-0.37659,-0.01833,-0.35379,-0.6328,-0.31756,-0.5726,285.00772,464.79172,316.97363,569.15082,175.4462,362.22449,713.62982,217.85068,7.57834,152.11293,85.25008,352.57291,61.99162,-51.7941,109.57957,86.56096
5,-3.831,-1.248,-5.406,-2.87466,-3.612,-4.931,-4.20163,-3.485,15.62636,14.70439,7.8878,13.45836,9.8346,12.29706,19.1186,9.27099,-0.79718,-0.2162,-0.62509,-0.67599,-0.68693,-0.58124,-0.39932,-0.9873,179.44917,437.92947,278.85336,404.94022,160.82645,182.4325,398.39267,186.04825,88.99693,106.50255,59.68816,144.68567,47.33696,81.94523,165.53685,62.19032
6,-0.189,1.575,1.058,-1.28938,-0.373,0.366,-1.29114,0.942,14.87467,14.75282,6.62853,11.83841,9.17419,11.39137,17.94587,8.23326,0.39599,-0.31531,0.28522,0.03391,0.17536,0.47586,0.45756,0.34171,283.19955,503.20703,365.50134,558.95343,207.17719,256.41922,546.57971,264.75443,64.18342,257.51736,89.94183,127.17735,45.64284,136.32915,134.84686,47.46843
7,-1.434,-4.195,-0.041,-1.25703,-2.466,-0.491,-0.2056,-1.968,15.45069,15.21713,7.29641,12.25495,9.95456,11.63821,17.61914,9.07533,-0.20964,-0.35853,-0.14867,-0.1573,-0.11842,-0.08751,0.20391,-0.19988,299.99625,334.61166,349.30453,616.52136,178.68295,289.70706,731.97559,214.26184,0.79693,223.1814,1.11521,86.864,37.65706,63.05333,-23.92869,37.37833
8,-1.995,-1.793,-0.624,-2.73594,-3.898,-1.027,-1.04602,-3.883,16.26492,15.44861,7.43506,11.97323,10.08042,12.1445,17.89847,9.36892,-0.24808,0.23088,0.19339,0.3608,0.35794,-0.31006,0.02406,0.19574,257.95529,361.46399,350.47244,685.2077,157.62759,292.18445,693.28082,210.86823,67.99094,159.79422,5.32613,-45.45228,33.89351,106.02346,-56.08732,15.511
9,-1.881,0.577,-0.985,-1.08054,-3.567,-1.289,-0.07927,-2.979,16.2025,15.22121,7.51345,12.26952,9.90954,12.2946,18.19375,9.36619,-0.52188,0.2216,-0.26555,0.34587,-0.03164,-0.61441,-0.02787,-0.29214,202.30923,367.04214,323.60413,609.48975,161.46561,255.09871,617.30896,200.90926,124.68078,126.44704,30.11017,-102.36935,38.82716,103.24094,-76.70098,48.21401
